kouji_No,gakku,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,area,ID
1044,Hirano,0,0,0,0,0,0,0,0,0,0,0,0,213000,198000,188000,178000,168000,161000,155000,148000,131000,118000,113000,111000,116000,124000,122000,116000,115000,118000,121000,125000,128000,131000,132000,133000,136000,139000,140000,143000,148000,154000,160000,2165492.099,124
1045,Hirano,0,0,0,0,0,0,0,0,1200000,1000000,680000,580000,535000,480000,445000,390000,330000,283000,243000,208000,172000,153000,147000,158000,180000,210000,200000,186000,182000,186000,193000,210000,219000,226000,234000,242000,251000,260000,259000,259000,263000,270000,279000,2165492.099,124
1046,Hirano,0,0,0,0,0,0,0,0,0,0,1100000,1000000,905000,710000,638000,550000,480000,418000,360000,316000,268000,236000,229000,229000,246000,278000,268000,248000,236000,233000,234000,245000,252000,258000,264000,269000,273000,276000,270000,263000,261000,264000,268000,2165492.099,124
1047,Zeze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94500,94500,94700,95100,96400,97700,4016250.968,125
1048,Zeze,0,0,0,0,183000,212000,300000,550000,650000,500000,400000,345000,310000,264000,223000,208000,178000,164000,147000,130000,115000,105000,98500,97500,100000,105000,104000,99000,95500,94300,94300,94700,95100,95600,97800,100000,102000,105000,105000,107000,109000,112000,116000,4016250.968,125
1049,Fujimi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138000,134000,125000,117000,110000,100000,93600,90000,88500,93000,98000,97000,92200,89200,88100,87800,87700,87700,87700,87000,86100,85300,84800,84100,83800,83800,84400,85400,4911474.006,126
1050,Seiran,0,0,0,0,0,0,0,0,0,0,172000,168000,168000,157000,152000,150000,143000,135000,128000,119000,105000,94000,90000,89500,91500,93000,90000,85700,83400,82500,81900,81900,81900,83200,84000,84300,85000,85600,85600,86300,87300,89500,92300,6701161.055,127
1051,Seiran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75600,75600,75600,75000,74100,73200,72600,72600,72500,72500,73700,74900,77000,6701161.055,127
1052,Seiran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244000,249000,255000,265000,274000,6701161.055,127
1053,Seiran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139000,125000,117000,117000,125000,134000,132000,124000,118000,118000,118000,120000,122000,124000,127000,130000,133000,137000,138000,143000,150000,158000,165000,6701161.055,127
