ID,gakku,fiscal year,school_name,teachers,classes,enroll_total,enroll_grade_1,enroll_grade_2,enroll_grade_3,enroll_grade_4,enroll_grade_5,enroll_grade_6
123,Chuo,2021,Chuo school,23,15,331,84,49,70,54,35,39
123,Chuo,2022,Chuo school,23,15,364,70,84,49,70,56,35
123,Chuo,2023,Chuo school,23,15,364,70,84,49,70,56,35
123,Chuo,2024,Chuo school,28,19,396,63,60,72,81,49,71
123,Chuo,2025,Chuo school,27,18,398,72,63,60,74,80,49
124,Hirano,2019,Hirano school,52,36,1089,166,170,177,178,210,188
124,Hirano,2020,Hirano school,54,38,1092,183,171,172,175,184,207
124,Hirano,2021,Hirano school,55,38,1042,156,184,171,171,178,182
124,Hirano,2022,Hirano school,53,37,1026,164,156,185,172,173,176
124,Hirano,2023,Hirano school,53,37,1026,164,156,185,172,173,176
124,Hirano,2024,Hirano school,61,40,999,151,159,165,161,191,172
124,Hirano,2025,Hirano school,58,38,962,146,146,158,164,159,189
125,Zeze,2019,Zeze school,40,28,655,119,107,109,91,118,111
125,Zeze,2020,Zeze school,41,29,661,117,116,108,111,91,118
125,Zeze,2021,Zeze school,38,29,663,116,116,117,108,114,92
125,Zeze,2022,Zeze school,39,30,691,117,117,115,119,108,115
125,Zeze,2023,Zeze school,39,30,691,117,117,115,119,108,115
125,Zeze,2024,Zeze school,43,30,668,108,105,112,118,115,110
125,Zeze,2025,Zeze school,42,30,667,111,109,102,113,116,116
126,Fujimi,2019,Fujimi school,23,16,424,67,72,66,70,77,72
126,Fujimi,2020,Fujimi school,24,16,427,68,70,71,70,70,78
126,Fujimi,2021,Fujimi school,27,17,434,86,68,71,72,65,72
126,Fujimi,2022,Fujimi school,29,18,453,86,87,69,71,73,67
126,Fujimi,2023,Fujimi school,29,18,453,86,87,69,71,73,67
126,Fujimi,2024,Fujimi school,28,21,476,86,86,82,84,70,68
126,Fujimi,2025,Fujimi school,34,23,487,75,85,90,82,85,70
127,Seiran,2019,Seiran school,43,31,890,144,143,162,163,138,140
127,Seiran,2020,Seiran school,44,33,908,154,146,146,162,164,136
127,Seiran,2021,Seiran school,48,35,935,163,153,146,147,162,164
127,Seiran,2022,Seiran school,49,35,903,132,157,156,147,145,166
127,Seiran,2023,Seiran school,49,35,903,132,157,156,147,145,166
127,Seiran,2024,Seiran school,55,36,884,131,163,136,152,159,143
127,Seiran,2025,Seiran school,56,36,866,133,130,159,135,150,159
128,Ishiyama,2019,Ishiyama school,36,20,514,85,86,85,73,94,91
128,Ishiyama,2020,Ishiyama school,34,21,505,89,84,86,82,72,92
128,Ishiyama,2021,Ishiyama school,34,20,466,56,88,82,86,82,72
128,Ishiyama,2022,Ishiyama school,33,22,466,74,58,87,83,82,82
128,Ishiyama,2023,Ishiyama school,33,22,466,74,58,87,83,82,82
128,Ishiyama,2024,Ishiyama school,33,23,447,65,79,75,58,88,82
128,Ishiyama,2025,Ishiyama school,31,21,432,68,65,76,77,60,86
129,Nango,2019,Nango school,31,23,554,75,113,87,92,83,104
129,Nango,2020,Nango school,31,24,536,86,75,113,87,92,83
129,Nango,2021,Nango school,33,25,541,80,89,78,115,86,93
129,Nango,2022,Nango school,37,27,550,95,81,93,78,116,87
129,Nango,2023,Nango school,37,27,550,95,81,93,78,116,87
129,Nango,2024,Nango school,33,25,504,62,88,97,81,97,79
129,Nango,2025,Nango school,37,25,506,83,61,87,97,81,97
130,Oishi,2019,Oishi school,18,13,237,28,29,39,40,51,50
130,Oishi,2020,Oishi school,14,10,219,29,28,31,40,42,49
130,Oishi,2021,Oishi school,15,11,212,40,28,29,31,40,44
130,Oishi,2022,Oishi school,17,11,203,34,40,28,30,31,40
130,Oishi,2023,Oishi school,17,11,203,34,40,28,30,31,40
130,Oishi,2024,Oishi school,18,10,185,28,24,34,41,29,29
130,Oishi,2025,Oishi school,17,10,178,18,29,24,36,41,30
131,Tanoue,2019,Tanoue school,27,18,394,49,68,65,65,69,78
131,Tanoue,2020,Tanoue school,26,16,375,50,50,72,65,68,70
131,Tanoue,2021,Tanoue school,28,17,364,61,48,53,71,64,67
131,Tanoue,2022,Tanoue school,29,19,346,49,61,48,53,72,63
131,Tanoue,2023,Tanoue school,29,19,346,49,61,48,53,72,63
131,Tanoue,2024,Tanoue school,31,18,301,41,50,49,60,48,53
131,Tanoue,2025,Tanoue school,28,17,284,39,41,51,47,58,48
132,Kamitanoue,2019,Kamitanoue school,13,7,72,12,9,19,10,8,14
132,Kamitanoue,2020,Kamitanoue school,12,7,77,19,12,9,19,10,8
132,Kamitanoue,2021,Kamitanoue school,13,7,81,13,19,12,9,19,9
132,Kamitanoue,2022,Kamitanoue school,11,7,83,13,12,18,12,9,19
132,Kamitanoue,2023,Kamitanoue school,11,7,83,13,12,18,12,9,19
132,Kamitanoue,2024,Kamitanoue school,13,7,77,13,7,13,13,19,12
132,Kamitanoue,2025,Kamitanoue school,13,8,79,15,12,8,13,13,18
133,Aoyama,2019,Aoyama school,51,36,1019,166,171,145,196,163,178
133,Aoyama,2020,Aoyama school,48,35,964,118,167,170,147,197,165
133,Aoyama,2021,Aoyama school,46,35,960,153,120,170,172,147,198
133,Aoyama,2022,Aoyama school,49,32,893,130,152,122,167,173,149
133,Aoyama,2023,Aoyama school,49,32,893,130,152,122,167,173,149
133,Aoyama,2024,Aoyama school,42,28,780,102,109,129,154,121,165
133,Aoyama,2025,Aoyama school,39,26,718,101,102,110,131,155,119
134,Seta,2019,Seta school,65,45,1238,191,200,236,217,191,203
134,Seta,2020,Seta school,63,45,1226,190,191,201,236,217,191
134,Seta,2021,Seta school,66,46,1226,181,192,188,208,238,219
134,Seta,2022,Seta school,64,44,1201,189,179,196,188,210,239
134,Seta,2023,Seta school,64,44,1201,189,179,196,188,210,239
134,Seta,2024,Seta school,61,41,1068,155,157,190,179,199,188
134,Seta,2025,Seta school,62,41,1016,134,158,161,189,177,197
135,Seta Minami,2019,Seta Minami school,44,32,774,101,123,121,134,141,154
135,Seta Minami,2020,Seta Minami school,41,31,758,129,101,127,125,133,143
135,Seta Minami,2021,Seta Minami school,40,30,743,131,128,101,128,125,130
135,Seta Minami,2022,Seta Minami school,43,30,751,134,133,127,100,130,127
