gakku,fiscal year,pop_total,pop_0_11,pop_12_18,pop_19_64,pop_65_over,rate_0_11,rate_65_over
Mano Kita,2019,6307,399,289,3193,2426,0.063263041,0.384651974
Mano Kita,2020,6147,402,278,3012,2455,0.065397755,0.399381812
Mano Kita,2021,6058,399,267,2870,2522,0.065863321,0.416309013
Mano Kita,2022,6075,406,269,2799,2601,0.066831276,0.428148148
Mano Kita,2023,6071,435,264,2711,2661,0.071652117,0.438313293
Mano Kita,2024,6042,422,275,2638,2707,0.069844422,0.448030453
Mano Kita,2025,5983,435,272,2579,2697,0.072706,0.450777202
Nagara,2018,12482,1170,745,7137,3430,0.093734978,0.274795706
Nagara,2019,12535,1151,754,7156,3474,0.091822896,0.277143997
Nagara,2020,12487,1133,749,7089,3516,0.090734364,0.281572836
Nagara,2021,12411,1111,742,7020,3538,0.089517364,0.285069696
Nagara,2022,12329,1071,729,6965,3564,0.086868359,0.28907454
Nagara,2023,12403,1047,744,7023,3589,0.084415061,0.289365476
Nagara,2024,12395,990,749,7014,3642,0.079870916,0.293828157
Nagara,2025,12375,990,729,6989,3667,0.08,0.296323232
Nango,2018,9663,963,633,4846,3221,0.099658491,0.333333333
Nango,2019,9581,939,623,4765,3254,0.098006471,0.339630519
Nango,2020,9597,957,632,4716,3292,0.099718662,0.343023862
Nango,2021,9556,919,640,4702,3295,0.096169946,0.344809544
Nango,2022,9579,942,639,4709,3289,0.098340119,0.343355256
Nango,2023,9411,887,657,4604,3263,0.094251408,0.346721921
Nango,2024,9363,880,680,4545,3258,0.09398697,0.347965396
Nango,2025,9304,836,689,4507,3272,0.089853826,0.351676698
Ogi,2018,2056,121,116,1031,788,0.05885214,0.383268482
Ogi,2019,2012,116,104,996,796,0.057654076,0.395626243
Ogi,2020,1999,112,110,972,805,0.056028014,0.402701351
Ogi,2021,1959,102,109,943,805,0.052067381,0.410923941
Ogi,2022,1900,96,96,916,792,0.050526316,0.416842105
Ogi,2023,1859,93,90,894,782,0.050026896,0.420656267
Ogi,2024,1789,77,95,850,767,0.043040805,0.428731135
Ogi,2025,1749,70,91,828,760,0.04002287,0.434534019
Ogi no Sato,2018,4638,459,277,2549,1353,0.098965071,0.291720569
Ogi no Sato,2019,4607,461,263,2480,1403,0.100065118,0.304536575
Ogi no Sato,2020,4601,489,259,2381,1472,0.106281243,0.31993045
Ogi no Sato,2021,4567,492,235,2324,1516,0.107729363,0.331946573
Ogi no Sato,2022,4563,501,232,2264,1566,0.109796187,0.343195266
Ogi no Sato,2023,4515,492,226,2184,1613,0.1089701,0.357253599
Ogi no Sato,2024,4466,475,233,2112,1646,0.106359158,0.368562472
Ogi no Sato,2025,4450,469,243,2069,1669,0.105393258,0.37505618
Ogi no Sato Higashi,2018,8812,1029,848,5188,1747,0.116772583,0.198252383
Ogi no Sato Higashi,2019,8752,952,871,5104,1825,0.108775137,0.208523766
Ogi no Sato Higashi,2020,8717,870,879,5059,1909,0.099804979,0.218997361
Ogi no Sato Higashi,2021,8691,825,834,5055,1977,0.094925785,0.2274767
Ogi no Sato Higashi,2022,8661,791,804,5030,2036,0.091328946,0.235076781
Ogi no Sato Higashi,2023,8592,751,795,4943,2103,0.08740689,0.24476257
